,Model,Data Type,Train F1-Score,Test F1-Score,Test/Train F1-Score Ratio
0,RandomForest,Oversampled Robust scaled,0.9985136251032205,0.9433465085638999,0.944750762380816
1,SVM,Oversampled Robust scaled,0.9240464344941957,0.9348556077904634,1.0116976516468943
2,XGBoost,Oversampled Robust scaled,0.999835065149266,0.9370904325032765,0.9372450168702352
3,KNN,Oversampled Robust scaled,1,0.9364548494983278,0.9364548494983278
4,RandomForest,Undersampled Robust Scaled,0.9381933438985737,0.9395348837209302,1.0014299182903834
5,SVM,Undersampled Robust Scaled,0.8655529037390612,0.9192124915139172,1.0619945788906193
6,XGBoost,Undersampled Robust Scaled,0.9303971686983877,0.9340439706862091,1.0039196185355155
7,KNN,Undersampled Robust Scaled,1,0.9384203480589023,0.9384203480589023
8,RandomForest,Oversampled Standard scaled,0.9985136251032205,0.9504296100462657,0.9518444076794804
9,SVM,Oversampled Standard scaled,0.9464703914352627,0.9336905559276625,0.986497374219789
10,XGBoost,Oversampled Standard scaled,0.9958602417618811,0.9437458636664461,0.9476689841505932
11,KNN,Oversampled Standard scaled,1,0.9424222369291859,0.9424222369291859
